Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	
0.5209553241729736	0	14.955224	7.7487273	63.0	9.0	14.955223880597014	7.7487270708506815	1002	1002	1002
0.7598881721496582	1	16.42623	6.9505486	41.0	9.0	16.42622950819672	6.950549020403416	1002	2004	2004
0.9488189220428467	2	27.108109	16.109062	76.0	10.0	27.10810810810811	16.109060374536895	1003	3007	3007
1.148515224456787	3	56.88889	32.998127	158.0	14.0	56.888888888888886	32.998129389555956	1024	4031	4031
1.3568811416625977	4	105.2	53.29128	200.0	25.0	105.2	53.291275083262924	1052	5083	5083
1.5813510417938232	5	128.22223	64.63019	200.0	33.0	128.22222222222223	64.63019208075326	1154	6237	6237
1.7820549011230469	6	131.25	49.19794	200.0	36.0	131.25	49.197942030129674	1050	7287	7287
1.9872541427612305	7	119.22222	22.919073	161.0	94.0	119.22222222222223	22.919073947637674	1073	8360	8360
2.199326992034912	8	123.55556	33.671986	200.0	80.0	123.55555555555556	33.671983445229394	1112	9472	9472
2.4158291816711426	9	124.44444	35.295925	200.0	77.0	124.44444444444444	35.29592708990376	1120	10592	10592
2.630527973175049	10	125.888885	45.957573	200.0	65.0	125.88888888888889	45.95757571317376	1133	11725	11725
2.8248209953308105	11	104.0	33.117973	176.0	56.0	104.0	33.117970952339455	1040	12765	12765
3.0215749740600586	12	101.7	28.754305	168.0	60.0	101.7	28.75430402565849	1017	13782	13782
3.228410243988037	13	99.09091	12.354275	121.0	83.0	99.0909090909091	12.354274530443044	1090	14872	14872
3.433324098587036	14	96.72727	21.1148	135.0	64.0	96.72727272727273	21.114798382740993	1064	15936	15936
3.6418590545654297	15	104.1	23.993542	154.0	73.0	104.1	23.993540797472974	1041	16977	16977
